iteration,convergenceIndicator,phase,A1_pop,tau1_pop,I0_pop,omega_A1,omega_tau1,omega_I0,corr_tau1_A1,a
251,-15813.8,2,0.198018,4.81182,0.458623,0.196728,0.198377,0.10697,-0.996009,0.0665609
252,-15838,2,0.194653,4.88208,0.460721,0.203328,0.204101,0.110528,-0.997231,0.0664901
253,-15828.2,2,0.196091,4.8406,0.457667,0.204878,0.206743,0.112427,-0.997266,0.0665213
254,-15821.8,2,0.196165,4.84525,0.458252,0.204104,0.204699,0.111086,-0.997353,0.0665876
255,-15838.8,2,0.193794,4.90055,0.461543,0.199297,0.201021,0.113902,-0.997752,0.0665747
256,-15840.7,2,0.193246,4.92804,0.461768,0.194401,0.193071,0.114225,-0.997537,0.0665725
257,-15831.2,2,0.191556,4.96923,0.463284,0.186383,0.184519,0.111151,-0.996708,0.0665941
258,-15851.5,2,0.18984,5.0226,0.466549,0.190675,0.189044,0.110635,-0.997225,0.0665368
259,-15842.5,2,0.190539,5.00654,0.464823,0.196,0.195062,0.109138,-0.997177,0.0665221
260,-15843.5,2,0.188937,5.04536,0.465434,0.195018,0.192168,0.109253,-0.997306,0.0665553
261,-15864,2,0.188022,5.07269,0.467844,0.197752,0.195395,0.108884,-0.997971,0.0665594
262,-15861.1,2,0.187786,5.07358,0.46815,0.199781,0.196457,0.105676,-0.997721,0.0665151
263,-15858.6,2,0.186579,5.10488,0.468759,0.198555,0.193891,0.109501,-0.997844,0.06653
264,-15832.2,2,0.18629,5.10484,0.467941,0.198937,0.194395,0.109254,-0.997443,0.0665598
265,-15855.7,2,0.186781,5.09199,0.467366,0.202723,0.199382,0.110783,-0.997797,0.0665276
266,-15878.2,2,0.188523,5.0481,0.465332,0.204256,0.199998,0.111251,-0.998134,0.0664901
267,-15867.4,2,0.187359,5.07727,0.467236,0.199656,0.195671,0.108505,-0.998044,0.0665185
268,-15865,2,0.18853,5.04764,0.466299,0.198307,0.193788,0.108448,-0.997993,0.0665255
269,-15829.7,2,0.188219,5.05748,0.466226,0.200368,0.196669,0.108169,-0.998103,0.0666278
