rep,id,eta_A1,eta_tau1,eta_A2,eta_tau2
10,26,-0.428565245142726,2.3846638640243,-0.375663476165409,1.34787097261104
1,27,0.129927051941523,-0.857333448246882,0.145099595944966,-0.489297435777164
2,27,0.225994206776683,-0.231631602722337,0.0641612221803049,-0.830448306846548
3,27,0.198369502750953,-0.747457325066204,0.119405715945162,-0.605914233978772
4,27,0.146150234372603,-0.830685375362001,0.11650921396334,-0.363300627918107
5,27,0.16730351776954,-0.61178554291744,0.104218831511588,-0.553862272408338
6,27,0.190753432006188,-0.66990081150375,0.097237171360656,-0.509253955043225
7,27,0.264045276257286,-0.528708296900891,0.0818232712688371,-0.746400879248875
8,27,0.177457251127886,-0.508028348744959,0.0941629487515429,-0.622968871904053
9,27,0.183474906417905,-0.660995830175647,0.0960033538067906,-0.4914650331076
10,27,0.241393288970882,-0.0401657443064521,0.0263922202925636,-0.800043442419052
1,28,-0.807178821124535,0.186202296396214,-0.119395496346866,2.84617146641728
2,28,-0.363423873513188,0.949290274992978,-0.171545460861978,1.21929179055552
3,28,-0.52107392202083,0.462321311353093,-0.12165359655355,1.79628149455577
4,28,-0.72251214594069,0.309756110391901,-0.137793437767876,2.6178698366807
5,28,-0.351165375391181,0.952108575369759,-0.173335833134386,1.19184353549623
6,28,-0.680814369017166,-0.340560983434702,-0.0517944810189051,2.5689020324927
7,28,-0.466021929721531,0.87988112904848,-0.180480689728862,1.63304082629587
8,28,-0.398087154151307,1.04646955982294,-0.186189657543787,1.31386685846717
9,28,-0.316727464549551,1.2013613515283,-0.202296288540425,1.04313460806859
10,28,-0.584027984943834,0.267806208205571,-0.108926761606995,2.08141593167765
1,29,0.134570052515783,-0.0268141671528759,0.0321486729274853,-0.569069658501609
2,29,0.234109861279444,0.459967544016915,-0.0391020870039578,-0.838506658016694
3,29,0.162609445171717,-0.235490621324286,0.0551835668531685,-0.590674382928967
4,29,0.117568365774347,-0.215208745101817,0.0414793000969388,-0.386541076969504
5,29,0.227388625297312,0.467108230424893,-0.0371326893764121,-0.83829501482422
6,29,0.188635972365364,-0.161117288953779,0.0471343470430923,-0.68171418738969
7,29,0.103813100778831,-0.512888370451886,0.0773396074517509,-0.293680337413225
8,29,-0.0590380325323789,-1.31616342701727,0.153524181096096,0.440226763589999
9,29,0.011556444520192,-0.698817340687715,0.0934360260688578,0.0304127532932179
10,29,0.18979120145162,0.237425807210499,-0.00936705655760575,-0.692323811090297
