A1_abscissa,A1_cdf,tau1_abscissa,tau1_cdf,I0_abscissa,I0_cdf,split
0.212434,0.719697,5.58062,0.719697,0.491731,0.719697,All
0.21248,0.721591,5.58508,0.721591,0.492116,0.721591,All
0.212696,0.723485,5.59114,0.723485,0.492395,0.723485,All
0.212771,0.725379,5.59217,0.725379,0.492619,0.725379,All
0.21286,0.727273,5.598,0.727273,0.492658,0.727273,All
0.213057,0.729167,5.60079,0.729167,0.492832,0.729167,All
0.213097,0.731061,5.60925,0.731061,0.492928,0.731061,All
0.213569,0.732955,5.61058,0.732955,0.493564,0.732955,All
0.213713,0.734848,5.6144,0.734848,0.493921,0.734848,All
0.214048,0.736742,5.62497,0.736742,0.493972,0.736742,All
0.214223,0.738636,5.62528,0.738636,0.49421,0.738636,All
0.214288,0.74053,5.62609,0.74053,0.495052,0.74053,All
0.214454,0.742424,5.62775,0.742424,0.495823,0.742424,All
0.214463,0.744318,5.63511,0.744318,0.495917,0.744318,All
0.214681,0.746212,5.64226,0.746212,0.495989,0.746212,All
0.216057,0.748106,5.65194,0.748106,0.496071,0.748106,All
0.21616,0.75,5.65325,0.75,0.496845,0.75,All
0.216195,0.751894,5.66757,0.751894,0.496884,0.751894,All
0.216607,0.753788,5.66818,0.753788,0.496917,0.753788,All
0.216795,0.755682,5.67433,0.755682,0.497068,0.755682,All
0.216961,0.757576,5.68132,0.757576,0.497307,0.757576,All
0.217058,0.75947,5.68799,0.75947,0.497309,0.75947,All
0.217077,0.761364,5.69297,0.761364,0.497711,0.761364,All
0.217141,0.763258,5.71342,0.763258,0.498013,0.763258,All
0.217523,0.765152,5.72364,0.765152,0.49806,0.765152,All
0.217894,0.767045,5.72385,0.767045,0.49842,0.767045,All
0.218557,0.768939,5.73295,0.768939,0.498551,0.768939,All
0.21857,0.770833,5.73734,0.770833,0.498904,0.770833,All
0.218588,0.772727,5.73963,0.772727,0.498919,0.772727,All
0.218771,0.774621,5.74242,0.774621,0.49895,0.774621,All
0.218821,0.776515,5.76122,0.776515,0.49902,0.776515,All
0.21901,0.778409,5.76572,0.778409,0.499106,0.778409,All
0.219094,0.780303,5.76599,0.780303,0.499389,0.780303,All
