rep,ID,time,observation,indivPredSimulated,censored,split,color,filter
7,64,14.659,0.629374,0.622741,0,All,#4682B4,0
8,64,14.659,0.629374,0.628658,0,All,#4682B4,0
1,64,15.0129,0.609292,0.613522,0,All,#4682B4,0
2,64,15.0129,0.609292,0.622104,0,All,#4682B4,0
3,64,15.0129,0.609292,0.623174,0,All,#4682B4,0
4,64,15.0129,0.609292,0.631075,0,All,#4682B4,0
5,64,15.0129,0.609292,0.623331,0,All,#4682B4,0
6,64,15.0129,0.609292,0.627036,0,All,#4682B4,0
7,64,15.0129,0.609292,0.622741,0,All,#4682B4,0
8,64,15.0129,0.609292,0.628658,0,All,#4682B4,0
1,64,15.3668,0.597743,0.613522,0,All,#4682B4,0
2,64,15.3668,0.597743,0.622104,0,All,#4682B4,0
3,64,15.3668,0.597743,0.623174,0,All,#4682B4,0
4,64,15.3668,0.597743,0.631075,0,All,#4682B4,0
5,64,15.3668,0.597743,0.623331,0,All,#4682B4,0
6,64,15.3668,0.597743,0.627036,0,All,#4682B4,0
7,64,15.3668,0.597743,0.622741,0,All,#4682B4,0
8,64,15.3668,0.597743,0.628658,0,All,#4682B4,0
1,64,15.7207,0.635382,0.613522,0,All,#4682B4,0
2,64,15.7207,0.635382,0.622104,0,All,#4682B4,0
3,64,15.7207,0.635382,0.623174,0,All,#4682B4,0
4,64,15.7207,0.635382,0.631075,0,All,#4682B4,0
5,64,15.7207,0.635382,0.623331,0,All,#4682B4,0
6,64,15.7207,0.635382,0.627036,0,All,#4682B4,0
7,64,15.7207,0.635382,0.622741,0,All,#4682B4,0
8,64,15.7207,0.635382,0.628658,0,All,#4682B4,0
1,64,16.0745,0.598186,0.613522,0,All,#4682B4,0
2,64,16.0745,0.598186,0.622104,0,All,#4682B4,0
3,64,16.0745,0.598186,0.623174,0,All,#4682B4,0
4,64,16.0745,0.598186,0.631075,0,All,#4682B4,0
5,64,16.0745,0.598186,0.623331,0,All,#4682B4,0
6,64,16.0745,0.598186,0.627036,0,All,#4682B4,0
7,64,16.0745,0.598186,0.622741,0,All,#4682B4,0
8,64,16.0745,0.598186,0.628658,0,All,#4682B4,0
1,64,16.4284,0.59353,0.613522,0,All,#4682B4,0
2,64,16.4284,0.59353,0.622104,0,All,#4682B4,0
3,64,16.4284,0.59353,0.623174,0,All,#4682B4,0
4,64,16.4284,0.59353,0.631075,0,All,#4682B4,0
5,64,16.4284,0.59353,0.623331,0,All,#4682B4,0
6,64,16.4284,0.59353,0.627036,0,All,#4682B4,0
7,64,16.4284,0.59353,0.622741,0,All,#4682B4,0
8,64,16.4284,0.59353,0.628658,0,All,#4682B4,0
1,64,16.7823,0.633736,0.613522,0,All,#4682B4,0
2,64,16.7823,0.633736,0.622104,0,All,#4682B4,0
3,64,16.7823,0.633736,0.623174,0,All,#4682B4,0
4,64,16.7823,0.633736,0.631075,0,All,#4682B4,0
5,64,16.7823,0.633736,0.623331,0,All,#4682B4,0
6,64,16.7823,0.633736,0.627036,0,All,#4682B4,0
7,64,16.7823,0.633736,0.622741,0,All,#4682B4,0
8,64,16.7823,0.633736,0.628658,0,All,#4682B4,0
1,64,17.1362,0.687923,0.613522,0,All,#4682B4,0
2,64,17.1362,0.687923,0.622104,0,All,#4682B4,0
3,64,17.1362,0.687923,0.623174,0,All,#4682B4,0
4,64,17.1362,0.687923,0.631075,0,All,#4682B4,0
5,64,17.1362,0.687923,0.623331,0,All,#4682B4,0
6,64,17.1362,0.687923,0.627036,0,All,#4682B4,0
7,64,17.1362,0.687923,0.622741,0,All,#4682B4,0
8,64,17.1362,0.687923,0.628658,0,All,#4682B4,0
1,64,17.4901,0.61335,0.613522,0,All,#4682B4,0
2,64,17.4901,0.61335,0.622104,0,All,#4682B4,0
3,64,17.4901,0.61335,0.623174,0,All,#4682B4,0
4,64,17.4901,0.61335,0.631075,0,All,#4682B4,0
5,64,17.4901,0.61335,0.623331,0,All,#4682B4,0
6,64,17.4901,0.61335,0.627036,0,All,#4682B4,0
7,64,17.4901,0.61335,0.622741,0,All,#4682B4,0
8,64,17.4901,0.61335,0.628658,0,All,#4682B4,0
1,64,17.844,0.622573,0.613522,0,All,#4682B4,0
2,64,17.844,0.622573,0.622104,0,All,#4682B4,0
3,64,17.844,0.622573,0.623174,0,All,#4682B4,0
4,64,17.844,0.622573,0.631075,0,All,#4682B4,0
5,64,17.844,0.622573,0.623331,0,All,#4682B4,0
6,64,17.844,0.622573,0.627036,0,All,#4682B4,0
7,64,17.844,0.622573,0.622741,0,All,#4682B4,0
8,64,17.844,0.622573,0.628658,0,All,#4682B4,0
1,64,18.1979,0.64032,0.613522,0,All,#4682B4,0
2,64,18.1979,0.64032,0.622104,0,All,#4682B4,0
3,64,18.1979,0.64032,0.623174,0,All,#4682B4,0
4,64,18.1979,0.64032,0.631075,0,All,#4682B4,0
5,64,18.1979,0.64032,0.623331,0,All,#4682B4,0
6,64,18.1979,0.64032,0.627036,0,All,#4682B4,0
7,64,18.1979,0.64032,0.622741,0,All,#4682B4,0
8,64,18.1979,0.64032,0.628658,0,All,#4682B4,0
1,64,18.5518,0.585069,0.613522,0,All,#4682B4,0
2,64,18.5518,0.585069,0.622104,0,All,#4682B4,0
3,64,18.5518,0.585069,0.623174,0,All,#4682B4,0
4,64,18.5518,0.585069,0.631075,0,All,#4682B4,0
5,64,18.5518,0.585069,0.623331,0,All,#4682B4,0
6,64,18.5518,0.585069,0.627036,0,All,#4682B4,0
7,64,18.5518,0.585069,0.622741,0,All,#4682B4,0
8,64,18.5518,0.585069,0.628658,0,All,#4682B4,0
1,64,18.9057,0.622682,0.613522,0,All,#4682B4,0
2,64,18.9057,0.622682,0.622104,0,All,#4682B4,0
3,64,18.9057,0.622682,0.623174,0,All,#4682B4,0
4,64,18.9057,0.622682,0.631075,0,All,#4682B4,0
5,64,18.9057,0.622682,0.623331,0,All,#4682B4,0
6,64,18.9057,0.622682,0.627036,0,All,#4682B4,0
7,64,18.9057,0.622682,0.622741,0,All,#4682B4,0
8,64,18.9057,0.622682,0.628658,0,All,#4682B4,0
1,64,19.2596,0.577358,0.613522,0,All,#4682B4,0
2,64,19.2596,0.577358,0.622104,0,All,#4682B4,0
3,64,19.2596,0.577358,0.623174,0,All,#4682B4,0
4,64,19.2596,0.577358,0.631075,0,All,#4682B4,0
5,64,19.2596,0.577358,0.623331,0,All,#4682B4,0
6,64,19.2596,0.577358,0.627036,0,All,#4682B4,0
7,64,19.2596,0.577358,0.622741,0,All,#4682B4,0
8,64,19.2596,0.577358,0.628658,0,All,#4682B4,0
1,64,19.6135,0.598443,0.613522,0,All,#4682B4,0
2,64,19.6135,0.598443,0.622104,0,All,#4682B4,0
3,64,19.6135,0.598443,0.623174,0,All,#4682B4,0
4,64,19.6135,0.598443,0.631075,0,All,#4682B4,0
5,64,19.6135,0.598443,0.623331,0,All,#4682B4,0
6,64,19.6135,0.598443,0.627036,0,All,#4682B4,0
7,64,19.6135,0.598443,0.622741,0,All,#4682B4,0
8,64,19.6135,0.598443,0.628658,0,All,#4682B4,0
1,64,19.9674,0.617251,0.613522,0,All,#4682B4,0
2,64,19.9674,0.617251,0.622104,0,All,#4682B4,0
