ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
200,20.8798,0.654631,0.937138,0.937138,0.735381,0.17581,0.17581,0.73984,0.108772,0.108772,0.654631,0.910255,0.910255,0,All,#4682B4,0
200,21.2337,0.654631,0.776096,0.776096,0.735381,-0.0439645,-0.0439645,0.73984,-0.111002,-0.111002,0.654631,0.773268,0.773268,0,All,#4682B4,0
200,21.5876,0.654631,0.170659,0.170659,0.735381,-0.90755,-0.90755,0.73984,-0.974588,-0.974588,0.654631,0.197613,0.197613,0,All,#4682B4,0
200,21.9415,0.654631,0.873412,0.873412,0.735381,-0.00152323,-0.00152323,0.73984,-0.0685612,-0.0685612,0.654631,0.908486,0.908486,0,All,#4682B4,0
200,22.2954,0.654631,0.0236515,0.0236515,0.735381,-1.11845,-1.11845,0.73984,-1.18549,-1.18549,0.654631,0.0920073,0.0920073,0,All,#4682B4,0
200,22.6493,0.654631,0.184874,0.184874,0.735381,-0.905998,-0.905998,0.73984,-0.973036,-0.973036,0.654631,0.215382,0.215382,0,All,#4682B4,0
200,23.0032,0.654631,1.01031,1.01031,0.735381,0.280711,0.280711,0.73984,0.213673,0.213673,0.654631,1.08494,1.08494,0,All,#4682B4,0
200,23.3571,0.654631,0.234549,0.234549,0.735381,-0.833388,-0.833388,0.73984,-0.900426,-0.900426,0.654631,0.267659,0.267659,0,All,#4682B4,0
200,23.711,0.654631,0.725194,0.725194,0.735381,-0.128186,-0.128186,0.73984,-0.195224,-0.195224,0.654631,0.66848,0.66848,0,All,#4682B4,0
200,24.0649,0.654631,0.465612,0.465612,0.735381,-0.475569,-0.475569,0.73984,-0.542607,-0.542607,0.654631,0.502686,0.502686,0,All,#4682B4,0
200,24.4188,0.654631,0.57794,0.57794,0.735381,-0.273388,-0.273388,0.73984,-0.340426,-0.340426,0.654631,0.628111,0.628111,0,All,#4682B4,0
