rep,id,A1,tau1,A2,p
10,42,0.494156048058281,7.06187104851395,0.752445704062026,0.999999004472699
1,23,0.569345960385107,13.0194532514947,0.685823999118008,1
2,23,0.591708766775689,4.90016858494819,0.657447926660852,1
3,23,0.568529865142915,3.97523012315044,0.673858927144117,1
4,23,0.583148389294919,5.55670415877078,0.657089761515667,0.999999996322854
5,23,0.576966236968824,6.10702960751974,0.672325856417677,1
6,23,0.5928417490571,5.33327644027626,0.659993927147103,1
7,23,0.581806112405752,7.3354727552097,0.668435818505031,1
8,23,0.58634797576519,9.7459077032825,0.66973385171293,1
9,23,0.573489246796556,8.42274148893055,0.675511279127339,1
10,23,0.590504719439979,5.04712856056212,0.657084852792872,0.999999999999995
1,24,0.473749424121243,7.59100792197162,0.77567479592783,1
2,24,0.452904108198501,5.59505632263888,0.802319528104355,1
3,24,0.46294493445998,7.51442667080763,0.791173472110188,1
4,24,0.456277404319142,6.61394779966474,0.791924646320351,0.907950584751913
5,24,0.470372415026617,6.11883799190174,0.775581340479069,0.999999999999947
6,24,0.484595180958422,4.71243191836604,0.770182270832245,1
7,24,0.473531301016826,9.35774542917338,0.780429566440412,0.999999992806914
