rep,ID,standEta_A1_simulated,standEta_tau1_simulated,standEta_A2_simulated,standEta_tau2_simulated,standEta_I0_simulated,filter
4,7,-0.791393,1.58206,-1.7163,1.49169,0.453877,0
5,7,-1.41471,0.74948,-0.337099,0.955423,0.421403,0
6,7,-1.15098,1.92779,-1.86922,1.8599,0.768158,0
7,7,0.194318,0.562512,-0.670214,0.419148,-0.0831749,0
8,7,0.235163,-0.19728,0.156719,-0.219123,-0.612199,0
9,7,-1.01109,0.978771,-0.743959,1.0481,0.349258,0
10,7,0.0775562,0.747949,-0.87187,0.598198,0.0271356,0
1,8,0.956437,-0.73276,0.444331,-0.831805,0.357388,0
2,8,0.608159,-0.443996,0.319988,-0.509608,0.470738,0
3,8,0.261876,-0.42318,0.333063,-0.411631,0.318013,0
4,8,1.43126,0.976095,-1.83165,0.457591,0.709981,0
5,8,-0.453833,0.665239,-0.577197,0.656793,1.1941,0
6,8,0.46408,2.02028,-2.66457,1.54892,1.21197,0
7,8,0.824492,-0.0282249,-0.324614,-0.220162,0.835079,0
8,8,-0.801664,1.46988,-1.49909,1.40043,1.3063,0
9,8,1.76873,0.136762,-0.892209,-0.31163,0.362123,0
10,8,1.75519,-0.455978,-0.181326,-0.794217,0.284423,0
1,9,-0.757717,1.13025,-1.18167,1.10725,1.55072,0
2,9,-0.984813,0.729657,-0.427426,0.834915,1.53881,0
3,9,0.259092,-1.21263,1.2627,-1.06114,0.485876,0
