A1_abscissa,A1_pdf,A1_cdf,tau1_abscissa,tau1_pdf,tau1_cdf,A2_abscissa,A2_pdf,A2_cdf,tau2_abscissa,tau2_pdf,tau2_cdf,I0_abscissa,I0_pdf,I0_cdf,split
0.0377599,13.2922,0.0682338,4.83391e+06,6.03431e-09,0.957424,0.0715271,5.45407,0.0410525,6.42304e+06,3.5388e-09,0.969885,0.344888,0.0670405,0.0007362,All
0.0390913,15.4951,0.0873971,5.20574e+06,5.37638e-09,0.959542,0.0738187,6.67311,0.0549307,6.91712e+06,3.13618e-09,0.971531,0.35177,0.114564,0.00134868,All
0.0404228,17.675,0.109486,5.57758e+06,4.82604e-09,0.961436,0.0761103,7.96447,0.071692,7.4112e+06,2.80109e-09,0.972995,0.358651,0.187766,0.00237168,All
0.0417542,19.7665,0.134425,5.94942e+06,4.36039e-09,0.963141,0.0784019,9.29144,0.0914607,7.90528e+06,2.51892e-09,0.974307,0.365532,0.295795,0.00401263,All
0.0430857,21.7098,0.162056,6.32126e+06,3.96243e-09,0.964687,0.0806935,10.6143,0.114273,8.39935e+06,2.27885e-09,0.975491,0.372413,0.448799,0.00654572,All
0.0444171,23.4533,0.192147,6.6931e+06,3.61929e-09,0.966095,0.0829851,11.8931,0.140074,8.89343e+06,2.07273e-09,0.976565,0.379295,0.657095,0.0103162,All
0.0457486,24.9557,0.224403,7.06494e+06,3.32106e-09,0.967384,0.0852767,13.0898,0.168719,9.38751e+06,1.89431e-09,0.977544,0.386176,0.930021,0.0157375,All
0.04708,26.1872,0.258481,7.43677e+06,3.06003e-09,0.968569,0.0875683,14.1705,0.199979,9.88159e+06,1.73874e-09,0.97844,0.393057,1.27459,0.0232802,All
0.0484115,27.1298,0.294008,7.80861e+06,2.83008e-09,0.969663,0.0898599,15.1069,0.233554,1.03757e+07,1.6022e-09,0.979265,0.399938,1.69411,0.0334514,All
0.0497429,27.7764,0.330593,8.18045e+06,2.62634e-09,0.970677,0.0921515,15.8776,0.26909,1.08697e+07,1.48165e-09,0.980026,0.40682,2.18699,0.0467643,All
0.0510744,28.13,0.367844,8.55229e+06,2.44487e-09,0.971619,0.0944431,16.4684,0.306187,1.13638e+07,1.37463e-09,0.980731,0.413701,2.7459,0.0637019,All
0.0524058,28.2024,0.405376,8.92413e+06,2.28244e-09,0.972498,0.0967347,16.8722,0.344424,1.18579e+07,1.27916e-09,0.981386,0.420582,3.35754,0.0846763,All
0.0537373,28.0125,0.442828,9.29597e+06,2.13642e-09,0.973319,0.0990263,17.0888,0.383372,1.2352e+07,1.19359e-09,0.981997,0.427464,4.00302,0.109988,All
0.0550687,27.5841,0.479865,9.66781e+06,2.0046e-09,0.974088,0.101318,17.1241,0.422607,1.28461e+07,1.11659e-09,0.982567,0.434345,4.65894,0.139792,All
0.0564002,26.9451,0.516188,1.00396e+07,1.88517e-09,0.974811,0.103609,16.9889,0.461725,1.33401e+07,1.04701e-09,0.983102,0.441226,5.29897,0.174071,All
0.0577316,26.1252,0.551536,1.04115e+07,1.77656e-09,0.975492,0.105901,16.6982,0.500351,1.38342e+07,9.83928e-10,0.983603,0.448107,5.89589,0.212621,All
0.0590631,25.1551,0.58569,1.07833e+07,1.67749e-09,0.976133,0.108193,16.2697,0.53815,1.43283e+07,9.26533e-10,0.984075,0.454989,6.42365,0.255054,All
0.0603945,24.065,0.618469,1.11552e+07,1.58683e-09,0.97674,0.110484,15.7231,0.574828,1.48224e+07,8.74152e-10,0.984519,0.46187,6.85944,0.300815,All
0.061726,22.8839,0.649732,1.1527e+07,1.50364e-09,0.977314,0.112776,15.0789,0.610138,1.53165e+07,8.26208e-10,0.984939,0.468751,7.18534,0.349205,All
0.0630574,21.6389,0.679378,1.18988e+07,1.4271e-09,0.977859,0.115067,14.3574,0.643879,1.58105e+07,7.82205e-10,0.985337,0.475633,7.38953,0.399424,All
