rep,ID,eta_A1_simulated,eta_tau1_simulated,eta_I0_simulated,split,color,filter
3,190,-0.219494,0.202889,-0.161846,All,#4682B4,0
4,190,-0.180587,0.171964,-0.16556,All,#4682B4,0
5,190,-0.305008,0.329658,-0.12319,All,#4682B4,0
6,190,-0.330441,0.348576,-0.0957493,All,#4682B4,0
7,190,-0.314652,0.302434,-0.116258,All,#4682B4,0
8,190,-0.264078,0.248002,-0.126319,All,#4682B4,0
1,191,0.115362,-0.0784882,-0.0386736,All,#4682B4,0
2,191,-0.0669744,0.088858,0.0493288,All,#4682B4,0
3,191,-0.0453844,0.0601455,0.0458862,All,#4682B4,0
4,191,-0.0804553,0.0550785,0.0608263,All,#4682B4,0
5,191,0.016922,0.00200482,0.0103362,All,#4682B4,0
6,191,0.320275,-0.296813,-0.122699,All,#4682B4,0
7,191,-0.129296,0.116373,0.0668754,All,#4682B4,0
8,191,0.0406594,-0.0375246,0.0497989,All,#4682B4,0
1,192,-0.294581,0.293294,-0.10742,All,#4682B4,0
2,192,-0.357184,0.384396,-0.0782022,All,#4682B4,0
3,192,-0.261314,0.269263,-0.142451,All,#4682B4,0
4,192,-0.213709,0.229969,-0.145624,All,#4682B4,0
5,192,-0.305405,0.276736,-0.178692,All,#4682B4,0
6,192,-0.270067,0.273706,-0.158702,All,#4682B4,0
7,192,-0.143446,0.14307,-0.197325,All,#4682B4,0
8,192,-0.24905,0.240914,-0.13885,All,#4682B4,0
1,193,-0.234041,0.239926,0.135232,All,#4682B4,0
2,193,0.0140626,-0.0331135,0.0363256,All,#4682B4,0
3,193,-0.0487607,0.0373195,0.0802195,All,#4682B4,0
4,193,-0.128601,0.131142,0.108668,All,#4682B4,0
5,193,0.0596401,-0.0563465,0.0248839,All,#4682B4,0
6,193,-0.0423025,0.0579703,0.0934209,All,#4682B4,0
7,193,-0.066587,0.0728705,0.0847903,All,#4682B4,0
8,193,-0.222189,0.2175,0.123381,All,#4682B4,0
1,194,-0.0827598,0.0690252,0.0393685,All,#4682B4,0
2,194,-0.11818,0.093102,0.0581761,All,#4682B4,0
3,194,-0.0487827,0.0436584,0.0203089,All,#4682B4,0
4,194,-0.074126,0.0752412,0.0101135,All,#4682B4,0
5,194,-0.0391557,0.0554293,-0.023743,All,#4682B4,0
6,194,-0.14971,0.147167,0.0297425,All,#4682B4,0
7,194,-0.0921117,0.114192,0.00113472,All,#4682B4,0
8,194,-0.0614223,0.0432636,-0.00896091,All,#4682B4,0
1,195,-0.0161793,-0.00888062,0.0952116,All,#4682B4,0
2,195,0.136596,-0.117687,0.0190807,All,#4682B4,0
3,195,0.13545,-0.158466,0.00918283,All,#4682B4,0
4,195,0.200283,-0.191597,-0.0249131,All,#4682B4,0
5,195,0.177034,-0.187475,-0.0160207,All,#4682B4,0
6,195,0.00954623,-0.0476617,0.0346818,All,#4682B4,0
7,195,0.0619727,-0.0642135,0.032859,All,#4682B4,0
8,195,0.011515,-0.0181442,0.0569592,All,#4682B4,0
1,196,0.00433238,-0.00396291,0.0161023,All,#4682B4,0
2,196,0.0978603,-0.102526,0.00132138,All,#4682B4,0
3,196,0.135388,-0.127828,-0.013216,All,#4682B4,0
4,196,0.0692005,-0.0764849,-0.00462297,All,#4682B4,0
5,196,0.169135,-0.14818,-0.0681247,All,#4682B4,0
6,196,0.0251395,-0.0352833,0.0181882,All,#4682B4,0
7,196,0.202659,-0.221523,-0.0686408,All,#4682B4,0
8,196,-0.100739,0.0812736,0.0469328,All,#4682B4,0
1,197,0.137845,-0.144554,-0.125215,All,#4682B4,0
2,197,-0.0395748,0.0289852,-0.0388708,All,#4682B4,0
3,197,0.0424555,-0.028232,-0.0875155,All,#4682B4,0
4,197,0.0663552,-0.0672485,-0.046487,All,#4682B4,0
5,197,-0.431054,0.446815,0.0883402,All,#4682B4,0
6,197,0.00403154,0.00323214,-0.0951446,All,#4682B4,0
7,197,-0.439651,0.434155,0.0712827,All,#4682B4,0
8,197,0.130648,-0.126937,-0.131717,All,#4682B4,0
1,198,0.126428,-0.126332,-0.056571,All,#4682B4,0
2,198,0.0268838,-0.00668868,-0.0190723,All,#4682B4,0
3,198,0.0366336,-0.0486154,-0.00329138,All,#4682B4,0
4,198,0.112978,-0.114718,-0.0459327,All,#4682B4,0
5,198,0.114546,-0.133828,-0.078297,All,#4682B4,0
6,198,-0.0434268,0.0720554,-0.00500832,All,#4682B4,0
7,198,-0.14128,0.122604,0.026464,All,#4682B4,0
8,198,-0.0490564,0.0536834,-0.00814173,All,#4682B4,0
1,199,0.354749,-0.341319,-0.06075,All,#4682B4,0
2,199,0.372203,-0.352383,-0.0153811,All,#4682B4,0
3,199,0.0534491,-0.0369903,0.109456,All,#4682B4,0
4,199,0.209896,-0.204766,0.033552,All,#4682B4,0
5,199,0.0705743,-0.0838614,0.0785623,All,#4682B4,0
6,199,0.162249,-0.148288,0.0783161,All,#4682B4,0
7,199,0.244977,-0.246963,0.00577996,All,#4682B4,0
8,199,0.278244,-0.279385,-0.0118833,All,#4682B4,0
1,200,0.198106,-0.19358,0.0920268,All,#4682B4,0
2,200,0.198291,-0.211688,0.0926991,All,#4682B4,0
3,200,-0.126116,0.13983,0.221805,All,#4682B4,0
4,200,-0.201237,0.209282,0.232275,All,#4682B4,0
5,200,0.494177,-0.51269,-0.0934955,All,#4682B4,0
6,200,0.469597,-0.465973,-0.0567088,All,#4682B4,0
7,200,-0.0177662,0.00603718,0.186546,All,#4682B4,0
8,200,0.16801,-0.179949,0.127776,All,#4682B4,0
1,201,-0.0543194,0.0579915,0.190418,All,#4682B4,0
2,201,-0.0157694,0.00714568,0.172457,All,#4682B4,0
3,201,-0.0661834,0.0514326,0.187813,All,#4682B4,0
4,201,-0.140449,0.133546,0.227387,All,#4682B4,0
5,201,0.175598,-0.167271,0.101518,All,#4682B4,0
6,201,0.0334298,-0.0299383,0.180244,All,#4682B4,0
7,201,0.210127,-0.208279,0.0768372,All,#4682B4,0
8,201,-0.0476061,0.0339726,0.191169,All,#4682B4,0
1,202,-0.277978,0.279694,0.165238,All,#4682B4,0
2,202,0.0537305,-0.026833,0.0952042,All,#4682B4,0
3,202,0.0318979,-0.0133853,0.109245,All,#4682B4,0
4,202,-0.458966,0.434795,0.228437,All,#4682B4,0
5,202,0.1694,-0.173379,0.049717,All,#4682B4,0
6,202,0.270834,-0.256125,-0.00257022,All,#4682B4,0
7,202,0.29325,-0.284365,-0.0169703,All,#4682B4,0
8,202,0.274414,-0.240621,-0.0133098,All,#4682B4,0
1,203,-0.0437727,0.0184185,0.0713783,All,#4682B4,0
2,203,0.25361,-0.216225,-0.0362946,All,#4682B4,0
3,203,0.167008,-0.18525,0.00587236,All,#4682B4,0
4,203,0.159897,-0.126743,-0.0139349,All,#4682B4,0
5,203,0.0625067,-0.0476276,0.0204016,All,#4682B4,0
6,203,0.0516597,-0.0638288,0.0209756,All,#4682B4,0
7,203,0.076935,-0.0703113,0.0237086,All,#4682B4,0
8,203,-0.0332807,0.0316064,0.0577742,All,#4682B4,0
