time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
25.8272,-0.136597,25.8272,-0.201838,25.8272,-0.147823,0.634654,0.0129184,0.72921,0.0130753,0.634654,0.00581591,All
26.4571,-0.11274,26.4571,-0.168519,26.4571,-0.118679,0.636121,0.0122697,0.733004,0.0143812,0.636121,0.00511845,All
27.0871,-0.138913,27.0871,-0.20367,27.0871,-0.144237,0.637888,0.0114889,0.739929,0.0150311,0.637888,0.00427898,All
27.717,-0.158591,27.717,-0.233464,27.717,-0.165573,0.639765,0.0106588,0.741011,0.0151326,0.639765,0.00338658,All
28.3469,-0.156607,28.3469,-0.230202,28.3469,-0.167892,0.641121,0.0100593,0.749018,0.0158841,0.641121,0.00274205,All
28.9769,-0.173307,28.9769,-0.258525,28.9769,-0.18392,0.64343,0.0090387,0.750805,0.0160518,0.64343,0.0016448,All
29.6068,-0.185414,29.6068,-0.274777,29.6068,-0.191506,0.644355,0.00862972,0.757025,0.0166356,0.644355,0.00120512,All
30.2367,-0.169506,30.2367,-0.252166,30.2367,-0.180645,0.647115,0.00740931,0.761841,0.0170876,0.647115,-0.000106955,All
30.8667,-0.195216,30.8667,-0.285557,30.8667,-0.201467,0.647589,0.00720015,0.765032,0.017387,0.647589,-0.000331816,All
31.4966,-0.223458,31.4966,-0.325907,31.4966,-0.22759,0.650822,0.00577058,0.773039,0.0181385,0.650822,-0.00186875,All
