ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
5,19.8181,0.650822,-2.29657,-2.29657,0.492461,-0.749632,-0.749632,0.493956,-0.773166,-0.773166,0.650822,-2.5649,-2.5649,0,All,#4682B4,0
5,20.172,0.650822,-1.83623,-1.83623,0.492461,-0.0986554,-0.0986554,0.493956,-0.122189,-0.122189,0.650822,-1.95547,-1.95547,0,All,#4682B4,0
5,20.5259,0.650822,-2.28486,-2.28486,0.492461,-0.706228,-0.706228,0.493956,-0.729762,-0.729762,0.650822,-2.3855,-2.3855,0,All,#4682B4,0
5,20.8798,0.650822,-2.08488,-2.08488,0.492461,-0.406151,-0.406151,0.493956,-0.429685,-0.429685,0.650822,-2.05579,-2.05579,0,All,#4682B4,0
5,21.2337,0.650822,-2.23566,-2.23566,0.492461,-0.691275,-0.691275,0.493956,-0.714809,-0.714809,0.650822,-2.35435,-2.35435,0,All,#4682B4,0
5,21.5876,0.650822,-2.06179,-2.06179,0.492461,-0.371602,-0.371602,0.493956,-0.395136,-0.395136,0.650822,-2.15731,-2.15731,0,All,#4682B4,0
5,21.9415,0.650822,-2.25391,-2.25391,0.492461,-0.611189,-0.611189,0.493956,-0.634723,-0.634723,0.650822,-2.51436,-2.51436,0,All,#4682B4,0
5,22.2954,0.650822,-2.58208,-2.58208,0.492461,-1.21929,-1.21929,0.493956,-1.24283,-1.24283,0.650822,-3.62628,-3.62628,0,All,#4682B4,0
5,22.6493,0.650822,-2.33297,-2.33297,0.492461,-0.857929,-0.857929,0.493956,-0.881463,-0.881463,0.650822,-2.4253,-2.4253,0,All,#4682B4,0
5,23.0032,0.650822,-1.84025,-1.84025,0.492461,-0.0183793,-0.0183793,0.493956,-0.0419134,-0.0419134,0.650822,-2.21933,-2.21933,0,All,#4682B4,0
5,23.3571,0.650822,-1.71949,-1.71949,0.492461,0.106883,0.106883,0.493956,0.083349,0.083349,0.650822,-1.71856,-1.71856,0,All,#4682B4,0
5,23.711,0.650822,-2.65122,-2.65122,0.492461,-1.18641,-1.18641,0.493956,-1.20995,-1.20995,0.650822,-2.91118,-2.91118,0,All,#4682B4,0
5,24.0649,0.650822,-2.71476,-2.71476,0.492461,-1.28959,-1.28959,0.493956,-1.31313,-1.31313,0.650822,-2.84244,-2.84244,0,All,#4682B4,0
5,24.4188,0.650822,-2.64448,-2.64448,0.492461,-1.21992,-1.21992,0.493956,-1.24346,-1.24346,0.650822,-2.86194,-2.86194,0,All,#4682B4,0
5,24.7727,0.650822,-1.0566,-1.0566,0.492461,0.985824,0.985824,0.493956,0.96229,0.96229,0.650822,-1.08368,-1.08368,0,All,#4682B4,0
5,25.1265,0.650822,-1.93318,-1.93318,0.492461,-0.195739,-0.195739,0.493956,-0.219273,-0.219273,0.650822,-1.92488,-1.92488,0,All,#4682B4,0
5,25.4804,0.650822,-1.08468,-1.08468,0.492461,1.06673,1.06673,0.493956,1.04319,1.04319,0.650822,-1.15515,-1.15515,0,All,#4682B4,0
5,25.8343,0.650822,-2.25549,-2.25549,0.492461,-0.636435,-0.636435,0.493956,-0.65997,-0.65997,0.650822,-2.78968,-2.78968,0,All,#4682B4,0
5,26.1882,0.650822,-1.4148,-1.4148,0.492461,0.529324,0.529324,0.493956,0.50579,0.50579,0.650822,-1.39361,-1.39361,0,All,#4682B4,0
5,26.5421,0.650822,-1.42811,-1.42811,0.492461,0.425267,0.425267,0.493956,0.401733,0.401733,0.650822,-1.47698,-1.47698,0,All,#4682B4,0
5,26.896,0.650822,-2.56288,-2.56288,0.492461,-1.00878,-1.00878,0.493956,-1.03232,-1.03232,0.650822,-2.6863,-2.6863,0,All,#4682B4,0
5,27.2499,0.650822,-1.76113,-1.76113,0.492461,0.158151,0.158151,0.493956,0.134617,0.134617,0.650822,-1.87448,-1.87448,0,All,#4682B4,0
5,27.6038,0.650822,-1.29213,-1.29213,0.492461,0.779501,0.779501,0.493956,0.755967,0.755967,0.650822,-1.31933,-1.31933,0,All,#4682B4,0
5,27.9577,0.650822,-1.50785,-1.50785,0.492461,0.434807,0.434807,0.493956,0.411273,0.411273,0.650822,-1.52814,-1.52814,0,All,#4682B4,0
5,28.3116,0.650822,-0.994607,-0.994607,0.492461,1.08378,1.08378,0.493956,1.06024,1.06024,0.650822,-0.938204,-0.938204,0,All,#4682B4,0
5,28.6655,0.650822,-2.22153,-2.22153,0.492461,-0.546508,-0.546508,0.493956,-0.570042,-0.570042,0.650822,-2.51929,-2.51929,0,All,#4682B4,0
5,29.0194,0.650822,-2.32487,-2.32487,0.492461,-0.755275,-0.755275,0.493956,-0.778809,-0.778809,0.650822,-3.1999,-3.1999,0,All,#4682B4,0
5,29.3733,0.650822,-1.56317,-1.56317,0.492461,0.422015,0.422015,0.493956,0.398481,0.398481,0.650822,-1.54954,-1.54954,0,All,#4682B4,0
5,29.7272,0.650822,-2.05941,-2.05941,0.492461,-0.268187,-0.268187,0.493956,-0.291721,-0.291721,0.650822,-1.91916,-1.91916,0,All,#4682B4,0
5,30.0811,0.650822,-2.33722,-2.33722,0.492461,-0.807284,-0.807284,0.493956,-0.830818,-0.830818,0.650822,-2.58361,-2.58361,0,All,#4682B4,0
5,30.435,0.650822,-1.63147,-1.63147,0.492461,0.29166,0.29166,0.493956,0.268126,0.268126,0.650822,-1.722,-1.722,0,All,#4682B4,0
5,30.7889,0.650822,-2.48611,-2.48611,0.492461,-1.00571,-1.00571,0.493956,-1.02925,-1.02925,0.650822,-2.5332,-2.5332,0,All,#4682B4,0
5,31.1428,0.650822,-1.60765,-1.60765,0.492461,0.208997,0.208997,0.493956,0.185463,0.185463,0.650822,-1.78611,-1.78611,0,All,#4682B4,0
5,31.4966,0.650822,-1.58,-1.58,0.492461,0.398928,0.398928,0.493956,0.375394,0.375394,0.650822,-1.61261,-1.61261,0,All,#4682B4,0
6,0,0.489139,-0.296599,-0.296599,0.463904,0.0524551,0.0524551,0.467173,0.00098878,0.00098878,0.489139,-0.312043,-0.312043,0,All,#4682B4,0
6,0.3539,0.650822,-0.853398,-0.853398,0.616575,-0.596177,-0.596177,0.620706,-0.661228,-0.661228,0.650822,-0.862814,-0.862814,0,All,#4682B4,0
6,0.7078,0.650822,-0.736275,-0.736275,0.616575,-0.441539,-0.441539,0.620706,-0.50659,-0.50659,0.650822,-0.69949,-0.69949,0,All,#4682B4,0
6,1.0617,0.650822,-0.895161,-0.895161,0.616575,-0.682035,-0.682035,0.620706,-0.747087,-0.747087,0.650822,-0.928912,-0.928912,0,All,#4682B4,0
6,1.4156,0.650822,-0.65167,-0.65167,0.616575,-0.322191,-0.322191,0.620706,-0.387243,-0.387243,0.650822,-0.606537,-0.606537,0,All,#4682B4,0
6,1.7695,0.650822,0.73591,0.73591,0.616575,1.65905,1.65905,0.620706,1.594,1.594,0.650822,0.746653,0.746653,0,All,#4682B4,0
6,2.1234,0.650822,0.444096,0.444096,0.616575,1.23931,1.23931,0.620706,1.17426,1.17426,0.650822,0.541088,0.541088,0,All,#4682B4,0
6,2.4773,0.650822,0.51799,0.51799,0.616575,1.33597,1.33597,0.620706,1.27092,1.27092,0.650822,0.438611,0.438611,0,All,#4682B4,0
6,2.8312,0.650822,0.914037,0.914037,0.616575,1.98518,1.98518,0.620706,1.92013,1.92013,0.650822,0.916108,0.916108,0,All,#4682B4,0
6,3.1851,0.650822,0.98766,0.98766,0.616575,1.93866,1.93866,0.620706,1.87361,1.87361,0.650822,1.06324,1.06324,0,All,#4682B4,0
6,3.539,0.650822,-0.649395,-0.649395,0.616575,-0.342542,-0.342542,0.620706,-0.407594,-0.407594,0.650822,-0.650205,-0.650205,0,All,#4682B4,0
6,3.8929,0.650822,0.403093,0.403093,0.616575,1.12463,1.12463,0.620706,1.05958,1.05958,0.650822,0.389195,0.389195,0,All,#4682B4,0
6,4.2468,0.650822,-0.772369,-0.772369,0.616575,-0.581539,-0.581539,0.620706,-0.646591,-0.646591,0.650822,-0.801945,-0.801945,0,All,#4682B4,0
6,4.6007,0.650822,0.0574705,0.0574705,0.616575,0.669724,0.669724,0.620706,0.604673,0.604673,0.650822,0.0338963,0.0338963,0,All,#4682B4,0
6,4.9546,0.650822,-0.353039,-0.353039,0.616575,0.134915,0.134915,0.620706,0.0698629,0.0698629,0.650822,-0.355185,-0.355185,0,All,#4682B4,0
6,5.3085,0.650822,-0.340861,-0.340861,0.616575,0.147947,0.147947,0.620706,0.0828955,0.0828955,0.650822,-0.351092,-0.351092,0,All,#4682B4,0
6,5.6624,0.650822,-0.047001,-0.047001,0.616575,0.4867,0.4867,0.620706,0.421649,0.421649,0.650822,-0.0772548,-0.0772548,0,All,#4682B4,0
6,6.0162,0.650822,-0.145356,-0.145356,0.616575,0.422915,0.422915,0.620706,0.357863,0.357863,0.650822,-0.147786,-0.147786,0,All,#4682B4,0
6,6.3701,0.650822,-0.983081,-0.983081,0.616575,-0.864736,-0.864736,0.620706,-0.929788,-0.929788,0.650822,-0.931787,-0.931787,0,All,#4682B4,0
6,6.724,0.650822,0.406341,0.406341,0.616575,1.14242,1.14242,0.620706,1.07737,1.07737,0.650822,0.395269,0.395269,0,All,#4682B4,0
6,7.0779,0.650822,-0.519548,-0.519548,0.616575,-0.182811,-0.182811,0.620706,-0.247862,-0.247862,0.650822,-0.511316,-0.511316,0,All,#4682B4,0
6,7.4318,0.650822,-0.246083,-0.246083,0.616575,0.237017,0.237017,0.620706,0.171966,0.171966,0.650822,-0.259972,-0.259972,0,All,#4682B4,0
6,7.7857,0.650822,0.663916,0.663916,0.616575,1.61208,1.61208,0.620706,1.54702,1.54702,0.650822,0.6329,0.6329,0,All,#4682B4,0
6,8.1396,0.650822,1.24633,1.24633,0.616575,2.43466,2.43466,0.620706,2.36961,2.36961,0.650822,1.18524,1.18524,0,All,#4682B4,0
6,8.4935,0.650822,-0.753218,-0.753218,0.616575,-0.469335,-0.469335,0.620706,-0.534387,-0.534387,0.650822,-0.798304,-0.798304,0,All,#4682B4,0
6,8.8474,0.650822,-1.22099,-1.22099,0.616575,-1.19388,-1.19388,0.620706,-1.25893,-1.25893,0.650822,-1.27037,-1.27037,0,All,#4682B4,0
6,9.2013,0.650822,0.194132,0.194132,0.616575,0.922655,0.922655,0.620706,0.857603,0.857603,0.650822,0.163374,0.163374,0,All,#4682B4,0
6,9.5552,0.650822,-0.0907738,-0.0907738,0.616575,0.436376,0.436376,0.620706,0.371324,0.371324,0.650822,-0.0700504,-0.0700504,0,All,#4682B4,0
6,9.9091,0.650822,-0.339555,-0.339555,0.616575,0.0916414,0.0916414,0.620706,0.0265899,0.0265899,0.650822,-0.356181,-0.356181,0,All,#4682B4,0
6,10.263,0.650822,-0.652991,-0.652991,0.616575,-0.313304,-0.313304,0.620706,-0.378356,-0.378356,0.650822,-0.59671,-0.59671,0,All,#4682B4,0
6,10.6169,0.650822,1.28003,1.28003,0.616575,2.35867,2.35867,0.620706,2.29362,2.29362,0.650822,1.25766,1.25766,0,All,#4682B4,0
6,10.9708,0.650822,-0.345772,-0.345772,0.616575,0.0753637,0.0753637,0.620706,0.0103121,0.0103121,0.650822,-0.359792,-0.359792,0,All,#4682B4,0
6,11.3247,0.650822,0.109047,0.109047,0.616575,0.726167,0.726167,0.620706,0.661116,0.661116,0.650822,0.106679,0.106679,0,All,#4682B4,0
6,11.6786,0.650822,-0.210569,-0.210569,0.616575,0.252525,0.252525,0.620706,0.187474,0.187474,0.650822,-0.246374,-0.246374,0,All,#4682B4,0
6,12.0325,0.650822,-0.424254,-0.424254,0.616575,-0.0442078,-0.0442078,0.620706,-0.109259,-0.109259,0.650822,-0.381691,-0.381691,0,All,#4682B4,0
6,12.3863,0.650822,0.301332,0.301332,0.616575,1.00468,1.00468,0.620706,0.939633,0.939633,0.650822,0.298219,0.298219,0,All,#4682B4,0
6,12.7402,0.650822,0.0831264,0.0831264,0.616575,0.731557,0.731557,0.620706,0.666505,0.666505,0.650822,0.151858,0.151858,0,All,#4682B4,0
6,13.0941,0.650822,1.60126,1.60126,0.616575,2.88829,2.88829,0.620706,2.82323,2.82323,0.650822,1.68534,1.68534,0,All,#4682B4,0
6,13.448,0.650822,-0.145987,-0.145987,0.616575,0.348956,0.348956,0.620706,0.283905,0.283905,0.650822,-0.209571,-0.209571,0,All,#4682B4,0
6,13.8019,0.650822,0.226484,0.226484,0.616575,0.931363,0.931363,0.620706,0.866312,0.866312,0.650822,0.232353,0.232353,0,All,#4682B4,0
6,14.1558,0.650822,-1.23949,-1.23949,0.616575,-1.1699,-1.1699,0.620706,-1.23495,-1.23495,0.650822,-1.19141,-1.19141,0,All,#4682B4,0
6,14.5097,0.650822,0.131434,0.131434,0.616575,0.747716,0.747716,0.620706,0.682664,0.682664,0.650822,0.159416,0.159416,0,All,#4682B4,0
6,14.8636,0.650822,-0.393194,-0.393194,0.616575,0.0653351,0.0653351,0.620706,0.000283564,0.000283564,0.650822,-0.421182,-0.421182,0,All,#4682B4,0
6,15.2175,0.650822,0.334121,0.334121,0.616575,1.08154,1.08154,0.620706,1.01648,1.01648,0.650822,0.373921,0.373921,0,All,#4682B4,0
6,15.5714,0.650822,-0.732467,-0.732467,0.616575,-0.42701,-0.42701,0.620706,-0.492061,-0.492061,0.650822,-0.685871,-0.685871,0,All,#4682B4,0
6,15.9253,0.650822,0.085959,0.085959,0.616575,0.706479,0.706479,0.620706,0.641427,0.641427,0.650822,0.0411257,0.0411257,0,All,#4682B4,0
6,16.2792,0.650822,0.960253,0.960253,0.616575,1.99174,1.99174,0.620706,1.92669,1.92669,0.650822,0.912463,0.912463,0,All,#4682B4,0
6,16.6331,0.650822,0.311004,0.311004,0.616575,1.11845,1.11845,0.620706,1.0534,1.0534,0.650822,0.33506,0.33506,0,All,#4682B4,0
6,16.987,0.650822,-0.372434,-0.372434,0.616575,0.193067,0.193067,0.620706,0.128015,0.128015,0.650822,-0.377846,-0.377846,0,All,#4682B4,0
6,17.3409,0.650822,-0.0149941,-0.0149941,0.616575,0.589438,0.589438,0.620706,0.524386,0.524386,0.650822,0.0527211,0.0527211,0,All,#4682B4,0
6,17.6948,0.650822,-1.25069,-1.25069,0.616575,-1.16512,-1.16512,0.620706,-1.23017,-1.23017,0.650822,-1.20681,-1.20681,0,All,#4682B4,0
6,18.0487,0.650822,-0.798029,-0.798029,0.616575,-0.517657,-0.517657,0.620706,-0.582708,-0.582708,0.650822,-0.808024,-0.808024,0,All,#4682B4,0
6,18.4026,0.650822,-0.915333,-0.915333,0.616575,-0.647111,-0.647111,0.620706,-0.712162,-0.712162,0.650822,-0.934972,-0.934972,0,All,#4682B4,0
6,18.7564,0.650822,0.166602,0.166602,0.616575,0.85536,0.85536,0.620706,0.790309,0.790309,0.650822,0.158402,0.158402,0,All,#4682B4,0
6,19.1103,0.650822,-0.519129,-0.519129,0.616575,-0.217932,-0.217932,0.620706,-0.282984,-0.282984,0.650822,-0.533277,-0.533277,0,All,#4682B4,0
6,19.4642,0.650822,-0.416173,-0.416173,0.616575,0.0481502,0.0481502,0.620706,-0.0169014,-0.0169014,0.650822,-0.469177,-0.469177,0,All,#4682B4,0
6,19.8181,0.650822,0.147688,0.147688,0.616575,0.820376,0.820376,0.620706,0.755324,0.755324,0.650822,0.176513,0.176513,0,All,#4682B4,0
6,20.172,0.650822,-1.63148,-1.63148,0.616575,-1.73612,-1.73612,0.620706,-1.80117,-1.80117,0.650822,-1.73622,-1.73622,0,All,#4682B4,0
6,20.5259,0.650822,-1.44728,-1.44728,0.616575,-1.41973,-1.41973,0.620706,-1.48478,-1.48478,0.650822,-1.44651,-1.44651,0,All,#4682B4,0
6,20.8798,0.650822,-0.0678382,-0.0678382,0.616575,0.49061,0.49061,0.620706,0.425559,0.425559,0.650822,0.00674417,0.00674417,0,All,#4682B4,0
