standEta_A1_abscissa,standEta_A1_cdf,standEta_tau1_abscissa,standEta_tau1_cdf,standEta_I0_abscissa,standEta_I0_cdf,split
-0.533706,0.284091,-0.507032,0.284091,-0.369819,0.284091,All
-0.528131,0.285985,-0.505822,0.285985,-0.360698,0.285985,All
-0.521242,0.287879,-0.504532,0.287879,-0.358868,0.287879,All
-0.519777,0.289773,-0.502712,0.289773,-0.350581,0.289773,All
-0.51769,0.291667,-0.502607,0.291667,-0.346405,0.291667,All
-0.51585,0.293561,-0.495056,0.293561,-0.336792,0.293561,All
-0.508976,0.295455,-0.48688,0.295455,-0.335295,0.295455,All
-0.506819,0.297348,-0.484307,0.297348,-0.332838,0.297348,All
-0.506087,0.299242,-0.482464,0.299242,-0.330281,0.299242,All
-0.483526,0.301136,-0.47511,0.301136,-0.323841,0.301136,All
-0.48334,0.30303,-0.474993,0.30303,-0.319922,0.30303,All
-0.482221,0.304924,-0.473553,0.304924,-0.31591,0.304924,All
-0.479722,0.306818,-0.447854,0.306818,-0.314237,0.306818,All
-0.467915,0.308712,-0.446076,0.308712,-0.30738,0.308712,All
-0.457624,0.310606,-0.426318,0.310606,-0.30221,0.310606,All
-0.452734,0.3125,-0.425924,0.3125,-0.299531,0.3125,All
-0.444819,0.314394,-0.420194,0.314394,-0.298017,0.314394,All
-0.44244,0.316288,-0.416323,0.316288,-0.29342,0.316288,All
-0.440925,0.318182,-0.407605,0.318182,-0.290771,0.318182,All
-0.436875,0.320076,-0.404933,0.320076,-0.285414,0.320076,All
-0.434348,0.32197,-0.402949,0.32197,-0.274962,0.32197,All
-0.426577,0.323864,-0.401346,0.323864,-0.255978,0.323864,All
-0.424304,0.325758,-0.396436,0.325758,-0.252173,0.325758,All
-0.424265,0.327652,-0.391062,0.327652,-0.250996,0.327652,All
-0.422525,0.329545,-0.386108,0.329545,-0.247955,0.329545,All
-0.421862,0.331439,-0.381567,0.331439,-0.231759,0.331439,All
-0.406907,0.333333,-0.378988,0.333333,-0.231178,0.333333,All
-0.40678,0.335227,-0.377496,0.335227,-0.229254,0.335227,All
-0.403106,0.337121,-0.376343,0.337121,-0.22032,0.337121,All
-0.397734,0.339015,-0.371616,0.339015,-0.2123,0.339015,All
-0.396159,0.340909,-0.36975,0.340909,-0.20287,0.340909,All
-0.387362,0.342803,-0.369314,0.342803,-0.196729,0.342803,All
-0.385128,0.344697,-0.366743,0.344697,-0.195583,0.344697,All
-0.379207,0.346591,-0.365685,0.346591,-0.193381,0.346591,All
-0.373549,0.348485,-0.365598,0.348485,-0.188461,0.348485,All
-0.37316,0.350379,-0.360455,0.350379,-0.181103,0.350379,All
-0.370581,0.352273,-0.353738,0.352273,-0.178545,0.352273,All
-0.366755,0.354167,-0.341587,0.354167,-0.176979,0.354167,All
-0.366145,0.356061,-0.339505,0.356061,-0.175836,0.356061,All
-0.354833,0.357955,-0.33561,0.357955,-0.170862,0.357955,All
-0.35483,0.359848,-0.329486,0.359848,-0.169138,0.359848,All
-0.353708,0.361742,-0.327943,0.361742,-0.168205,0.361742,All
-0.352511,0.363636,-0.326757,0.363636,-0.161985,0.363636,All
-0.352038,0.36553,-0.324715,0.36553,-0.157474,0.36553,All
-0.342369,0.367424,-0.323273,0.367424,-0.155089,0.367424,All
-0.323279,0.369318,-0.322226,0.369318,-0.148662,0.369318,All
-0.320596,0.371212,-0.310061,0.371212,-0.144689,0.371212,All
-0.320333,0.373106,-0.308203,0.373106,-0.142785,0.373106,All
-0.318742,0.375,-0.308179,0.375,-0.142727,0.375,All
-0.31681,0.376894,-0.307052,0.376894,-0.140127,0.376894,All
-0.313986,0.378788,-0.302539,0.378788,-0.137808,0.378788,All
-0.313524,0.380682,-0.299378,0.380682,-0.135134,0.380682,All
-0.304354,0.382576,-0.29785,0.382576,-0.134476,0.382576,All
-0.303109,0.38447,-0.292951,0.38447,-0.134179,0.38447,All
-0.302553,0.386364,-0.284579,0.386364,-0.132491,0.386364,All
-0.302504,0.388258,-0.283831,0.388258,-0.13059,0.388258,All
