rep,ID,standEta_A1_simulated,standEta_tau1_simulated,standEta_I0_simulated,filter
1,194,-0.396159,0.333295,0.365315,0
2,194,-0.565709,0.449552,0.539839,0
3,194,-0.233516,0.210808,0.188454,0
4,194,-0.35483,0.363309,0.0938468,0
5,194,-0.187433,0.267646,-0.22032,0
6,194,-0.716637,0.710608,0.275993,0
7,194,-0.440925,0.551388,0.0105295,0
8,194,-0.29402,0.208902,-0.0831518,0
1,195,-0.0774478,-0.0428809,0.883505,0
2,195,0.653865,-0.568261,0.177057,0
3,195,0.64838,-0.765168,0.0852111,0
4,195,0.958725,-0.925143,-0.231178,0
5,195,0.847438,-0.905242,-0.148662,0
6,195,0.0456964,-0.230139,0.321826,0
7,195,0.296654,-0.310061,0.304912,0
8,195,0.0551206,-0.0876108,0.528547,0
1,196,0.0207385,-0.0191353,0.149419,0
2,196,0.468443,-0.495056,0.0122616,0
3,196,0.648084,-0.617228,-0.122637,0
4,196,0.331253,-0.369314,-0.0428984,0
5,196,0.809624,-0.715501,-0.632156,0
6,196,0.120339,-0.170368,0.168775,0
7,196,0.970096,-1.06965,-0.636945,0
8,196,-0.482221,0.392437,0.435508,0
1,197,0.659844,-0.697991,-1.16192,0
2,197,-0.189439,0.139958,-0.360698,0
3,197,0.203228,-0.136321,-0.812091,0
4,197,0.317632,-0.324715,-0.431371,0
5,197,-2.06339,2.15749,0.819743,0
6,197,0.0192984,0.0156067,-0.882884,0
7,197,-2.10454,2.09636,0.66146,0
8,197,0.625392,-0.612926,-1.22225,0
1,198,0.605193,-0.610005,-0.524945,0
2,198,0.128689,-0.0322969,-0.176979,0
3,198,0.17536,-0.234744,-0.030542,0
4,198,0.540808,-0.553925,-0.426227,0
5,198,0.548314,-0.6462,-0.726549,0
6,198,-0.207878,0.347926,-0.0464742,0
7,198,-0.676288,0.592006,0.24557,0
8,198,-0.234826,0.259215,-0.0755503,0
1,199,1.69813,-1.64809,-0.563723,0
2,199,1.78168,-1.70151,-0.142727,0
3,199,0.255853,-0.178611,1.01568,0
4,199,1.00474,-0.98873,0.311342,0
5,199,0.337829,-0.404933,0.729011,0
6,199,0.776664,-0.71602,0.726726,0
7,199,1.17267,-1.19248,0.0536345,0
8,199,1.33191,-1.34903,-0.110269,0
1,200,0.948302,-0.934717,0.853953,0
2,200,0.949189,-1.02215,0.860192,0
3,200,-0.603701,0.675183,2.05821,0
4,200,-0.963294,1.01054,2.15537,0
5,200,2.36555,-2.47557,-0.867581,0
6,200,2.24789,-2.24999,-0.526223,0
7,200,-0.0850443,0.0291511,1.73104,0
8,200,0.804238,-0.868898,1.18568,0
1,201,-0.260019,0.280017,1.76696,0
2,201,-0.0754856,0.0345036,1.6003,0
3,201,-0.31681,0.248347,1.74279,0
4,201,-0.672307,0.644838,2.11001,0
5,201,0.84056,-0.807685,0.94203,0
6,201,0.160023,-0.14456,1.67256,0
7,201,1.00585,-1.0057,0.713003,0
8,201,-0.227883,0.16404,1.77393,0
1,202,-1.33064,1.35053,1.53331,0
2,202,0.2572,-0.129566,0.883437,0
3,202,0.152691,-0.0646322,1.01373,0
4,202,-2.197,2.09945,2.11976,0
5,202,0.810895,-0.837177,0.461343,0
6,202,1.29644,-1.23672,-0.0238501,0
7,202,1.40374,-1.37308,-0.157474,0
8,202,1.31358,-1.16186,-0.123507,0
1,203,-0.209533,0.0889355,0.662347,0
2,203,1.21399,-1.04406,-0.336792,0
3,203,0.799441,-0.894497,0.054492,0
4,203,0.765405,-0.611989,-0.129307,0
5,203,0.29921,-0.229974,0.189314,0
6,203,0.247287,-0.308203,0.194641,0
7,203,0.368277,-0.339505,0.220002,0
8,203,-0.15931,0.152614,0.536109,0
1,204,0.147397,-0.223292,0.796602,0
2,204,0.377381,-0.446076,0.643852,0
3,204,0.405365,-0.522061,0.318101,0
4,204,0.517964,-0.473553,0.64834,0
5,204,1.23644,-1.17511,0.0170187,0
6,204,1.11544,-1.2267,0.141829,0
7,204,0.0818882,-0.0357731,0.678914,0
8,204,-0.120663,0.0459413,0.910507,0
1,205,1.18899,-1.212,-1.72896,0
2,205,-1.47323,1.39097,0.499771,0
3,205,-1.72535,1.64317,0.516236,0
4,205,-0.48334,0.467208,-0.31591,0
5,205,-0.215141,0.203117,-0.462482,0
6,205,-0.815363,0.806269,0.0555399,0
7,205,-0.804415,0.734403,-0.00270765,0
8,205,-0.11554,0.179099,-0.506708,0
1,206,1.69789,-1.69443,1.06761,0
2,206,1.84396,-1.80633,0.976936,0
3,206,1.52995,-1.5857,1.30752,0
4,206,1.6533,-1.65229,1.12578,0
