iteration,convergenceIndicator,phase,A1_pop,tau1_pop,A2_pop,tau2_pop,I0_pop,omega_A1,omega_tau1,omega_A2,omega_tau2,omega_I0,corr_A2_A1,corr_tau1_A1,corr_tau2_A1,corr_tau1_A2,corr_tau2_A2,corr_tau2_tau1,a
89,-4000,1,0.0993386,737.88,0.158771,382.267,0.395134,0.21744,2.3267,0.171956,2.36627,0.151579,-0.103362,-0.220846,-0.350974,-0.348537,-0.0163524,0.414283,0.104674
90,-4054.67,1,0.100499,753.114,0.150845,565.206,0.39745,0.231525,2.47028,0.174941,2.30636,0.147741,-0.15143,-0.341979,-0.416872,-0.434071,-0.0094323,0.58124,0.102024
91,-4106.75,1,0.0972536,682.321,0.152767,658.994,0.400775,0.225662,2.40773,0.178806,2.51117,0.144,-0.102223,-0.401112,-0.350101,-0.405615,0.0741031,0.558369,0.0994403
92,-4175.79,1,0.0968881,756.882,0.14905,680.663,0.402993,0.219949,2.34677,0.174279,2.44758,0.140354,-0.0643024,-0.296287,-0.347712,-0.389788,-0.0623636,0.505381,0.0969224
93,-4212.73,1,0.0950017,1007.41,0.149889,762.101,0.407885,0.221112,2.28735,0.175699,2.45735,0.1368,-0.172062,-0.186948,-0.280191,-0.386182,-0.110073,0.527724,0.0944682
94,-4274.22,1,0.0940092,821.915,0.150684,805.926,0.40748,0.232729,2.37492,0.17125,2.39513,0.133336,-0.28847,-0.113745,-0.153735,-0.399871,-0.335061,0.57489,0.0920763
95,-4323.17,1,0.0908777,1138.67,0.146996,1253.83,0.411995,0.231645,2.31479,0.186104,2.33448,0.12996,-0.527387,-0.103679,-0.0927598,-0.325618,-0.408145,0.595155,0.0897448
96,-4367.23,1,0.0909259,1123.1,0.143848,1879.15,0.415335,0.228687,2.25618,0.183223,2.27537,0.13959,-0.48005,-0.249087,-0.252059,-0.157074,-0.234781,0.472253,0.0874724
97,-4402.35,1,0.0870763,1666.28,0.146474,1950.09,0.4151,0.253635,2.24685,0.206257,2.46763,0.136055,-0.535438,-0.00294386,-0.445643,-0.43517,-0.180254,0.534442,0.0852576
98,-4445.36,1,0.0821762,1808.24,0.147213,1932.75,0.420537,0.247213,2.18996,0.201034,2.56212,0.136082,-0.426328,-0.00767529,-0.544059,-0.4034,-0.190598,0.53194,0.0830988
99,-4495.07,1,0.0836379,1869.49,0.144947,1440.74,0.422565,0.252153,2.16403,0.195944,2.49725,0.132636,-0.487414,-0.117728,-0.526637,-0.336219,-0.171519,0.680356,0.0809947
100,-4539.39,1,0.0879813,1317.35,0.140142,902.622,0.420671,0.245768,2.18897,0.21026,2.43402,0.135026,-0.542664,0.0532174,-0.455281,-0.494167,-0.168577,0.722581,0.0789439
101,-4567.4,1,0.0893061,1447.69,0.139559,882.314,0.422394,0.264459,2.22968,0.204937,2.50756,0.140414,-0.493743,-0.0267849,-0.555935,-0.576659,-0.195973,0.731817,0.076945
102,-4598.11,1,0.0840142,1038.5,0.139851,868.898,0.425713,0.279976,2.34131,0.199747,2.44406,0.137704,-0.587411,0.0474391,-0.583553,-0.56585,-0.0859261,0.711055,0.0749967
103,-4627.97,1,0.0824627,960.132,0.138973,882.117,0.427528,0.289341,2.50663,0.221531,2.70005,0.134217,-0.62446,-0.0523689,-0.607149,-0.521366,-0.0521494,0.767143,0.0730977
104,-4661.27,1,0.0817078,1077.99,0.137908,1186.51,0.429443,0.282015,2.64535,0.232739,2.72876,0.130818,-0.659632,-0.12172,-0.612748,-0.500159,-0.0154977,0.809297,0.0712469
105,-4674.14,1,0.081511,1268.51,0.134256,1197.93,0.432058,0.277962,2.62632,0.226846,2.77005,0.128784,-0.640758,-0.102153,-0.619097,-0.579637,-0.0698275,0.792766,0.0694428
106,-4697.87,1,0.0811977,1519.01,0.130716,1299.72,0.437089,0.270924,2.55982,0.221102,2.75293,0.136029,-0.638558,-0.11876,-0.640365,-0.562032,-0.0342518,0.792291,0.0676845
107,-4719.6,1,0.0826624,1441.2,0.128368,1230.93,0.436985,0.264064,2.5407,0.215504,2.70705,0.141661,-0.550317,-0.289921,-0.68958,-0.513681,-0.0869664,0.857776,0.0659707
108,-4717.55,1,0.0840172,1493.74,0.126867,1077.76,0.439709,0.257378,2.49648,0.210047,2.87558,0.144597,-0.55627,-0.313985,-0.678831,-0.47214,-0.0924409,0.882564,0.0643003
109,-4718.18,1,0.0800283,1878.59,0.127438,1736.67,0.441396,0.258675,2.65054,0.206969,3.03339,0.144103,-0.52446,-0.279701,-0.630238,-0.551435,-0.206089,0.888642,0.0638269
110,-4720.66,1,0.0788304,1990.38,0.127368,2031.64,0.441941,0.288375,2.78942,0.208539,3.06206,0.141556,-0.539421,-0.266336,-0.631333,-0.546278,-0.198464,0.886047,0.0637078
111,-4715.6,1,0.079743,2712.12,0.123878,2699.46,0.444221,0.281074,2.74427,0.20426,3.00777,0.137972,-0.511749,-0.270704,-0.604921,-0.571434,-0.264636,0.890679,0.0638305
112,-4713.05,1,0.0784237,3206.79,0.125077,3243.66,0.446134,0.281477,2.74979,0.199088,3.19037,0.134752,-0.407172,-0.390259,-0.689927,-0.52411,-0.248731,0.901961,0.0638
113,-4736.13,1,0.0758328,2708.34,0.127829,3232.23,0.446827,0.27435,2.77548,0.194047,3.10959,0.131714,-0.165874,-0.566962,-0.727556,-0.605917,-0.437096,0.949447,0.063751
